SCRAM,WEEK,EST_ST,EST_MSA,PWEIGHT,TBIRTH_YEAR,ABIRTH_YEAR,EGENDER,AGENDER,RHISPANIC,AHISPANIC,RRACE,ARACE,EEDUC,AEDUC,MS,THHLD_NUMPER,AHHLD_NUMPER,THHLD_NUMKID,AHHLD_NUMKID,THHLD_NUMADLT,WRKLOSS,EXPCTLOSS,ANYWORK,KINDWORK,RSNNOWRK,UNEMPPAY,PRIFOODSUF,CURFOODSUF,FOODSUFRSN1,FOODSUFRSN2,FOODSUFRSN3,FOODSUFRSN4,FOODSUFRSN5,FREEFOOD,WHEREFREE1,WHEREFREE2,WHEREFREE3,WHEREFREE4,WHEREFREE5,WHEREFREE6,WHEREFREE7,TSPNDFOOD,TSPNDPRPD,FOODCONF,HLTHSTATUS,ANXIOUS,WORRY,INTEREST,DOWN,HLTHINS1,HLTHINS2,HLTHINS3,HLTHINS4,HLTHINS5,HLTHINS6,HLTHINS7,HLTHINS8,DELAY,NOTGET,TENURE,MORTLMTH,MORTCONF,ENROLL1,ENROLL2,ENROLL3,TEACH1,TEACH2,TEACH3,TEACH4,TEACH5,COMPAVAIL,COMP1,COMP2,COMP3,INTRNTAVAIL,INTRNT1,INTRNT2,INTRNT3,TSCHLHRS,TTCH_HRS,INCOME,female,internet_access
V010000004S50040432200112,1,04,NA,960.01697573,1949,2,2,2,1,2,1,2,7,2,3,1,2,0,2,1,2,2,2,NA,7,4,2,2,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,22,0,4,4,4,4,2,4,2,1,1,NA,NA,NA,NA,NA,2,2,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0
V010000004S51040914700113,1,04,NA,3543.7922074,1961,2,2,2,1,2,1,2,4,2,1,5,2,1,2,4,1,1,1,5,NA,NA,1,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,200,30,4,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0
V010000004S52040623820113,1,04,NA,1920.0339515,1936,2,2,2,1,2,1,2,7,2,1,2,2,0,2,2,2,2,2,NA,7,4,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,500,0,3,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0
V010000004S72040441030113,1,04,NA,1627.2354283,1943,2,1,2,1,2,1,2,6,2,1,2,2,0,2,2,2,2,1,1,NA,NA,1,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,75,100,4,3,2,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0
V010000004S91040196410113,1,04,NA,818.95525428,1981,2,2,2,1,2,1,2,5,2,3,1,2,0,2,1,1,1,2,NA,2,4,1,2,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,95,10,1,3,2,2,4,4,1,2,2,2,2,2,2,2,1,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0
V010000004S91040323120112,1,04,NA,8516.5123302,1996,2,2,2,1,2,1,2,4,2,5,4,2,0,2,4,1,1,2,NA,12,4,1,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,100,20,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0
V010000004S91040505910112,1,04,NA,960.01697573,1948,2,2,2,1,2,1,2,7,2,2,1,2,0,2,1,2,2,2,NA,7,4,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,75,100,4,3,2,1,1,1,2,1,1,2,2,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0
V010000005S13051839180112,1,05,NA,1424.9248936,1952,2,1,2,1,2,1,2,6,2,1,2,2,0,2,2,2,2,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,200,0,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0
V010000005S15050156430111,1,05,NA,990.58802641,1942,2,2,2,1,1,2,2,4,2,1,2,2,0,2,2,2,2,2,NA,7,4,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,165,0,4,3,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0
V010000005S33051646480111,1,05,NA,805.09981501,1964,2,2,2,1,2,1,2,6,2,1,2,2,0,2,2,2,2,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,125,20,4,3,3,3,3,2,1,1,2,2,2,2,2,2,1,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0
V010000005S56050250140113,1,05,NA,2905.3863009,1956,2,1,2,1,2,1,2,4,2,3,3,2,0,2,3,2,2,2,NA,6,4,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,150,0,3,4,1,1,1,1,NA,NA,1,1,NA,1,NA,NA,1,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
